; 4
Naturalmente; 11
Navidad; 1
Negro; 1
Ni; 7
Ninguna; 2
Ninguno; 5
Niño; 4
Niños; 1
No; 166
Noche; 2
Noches; 2
Noodler; 3
Normalmente; 1
Nos; 3
Notaremos; 1
Nuestra; 1
Nunca; 38
O; 7
Oh; 28
Ojalá; 5
Olvídate; 1
Oriente; 1
Oro; 1
Orza; 1
Os; 6
Otros; 1
Oye; 7
Oyeron; 1
Oían; 1
Padre; 2
Pan; 25
Pantera; 2
Paperas; 1
Papá; 5
Para; 15
Parecía; 3
Pasaban; 1
Pastelero; 1
País; 21
Países; 2
Pedazo; 1
Pensaron; 2
Pensó; 2
Pequeña; 1
Perdió; 1
Pero; 104
Peten; 3
Peter; 396
Piedad; 1
Plancha; 1
Pobre; 3
Poco; 1
Pocos; 1
Podríamos; 2
Podéis; 1
Podía; 4
Pondré; 1
Poneos; 1
Pop; 2
Por; 68
Porque; 5
Posiblemente; 1
Preguntadle; 1
Preguntó; 1
Prepara; 1
Preparad; 1
Presuntuoso; 53
Primero; 5
Pronunció; 1
Puede; 3
Pues; 27
Pórtate; 1
Que; 3
Queremos; 1
Querido; 1
Queridos; 1
Quería; 3
Quiere; 3
Quiero; 9
Quiero-que; 1
Quiero-que-te-metas-en-el-nido; 1
Quietos; 1
Quince; 1
Quitándoles; 1
Quizás; 8
Qué; 16
R; 1
Rastreó; 1
Ratas; 1
Realmente; 2
Recordaban; 1
Recordaréis; 3
Recordemos; 1
Recordó; 1
Recuerdo; 1
Recurrió; 1
Regresar; 1
Regresó; 1
Reina; 1
Resonó; 1
Resultó; 1
Riachuelo; 1
Rizos; 22
Robert; 1
Robin; 1
Roca; 5
Roger; 2
Roja; 1
Rosas; 1
Rápidamente; 1
Rápido; 2
Río; 3
Sabes; 1
Sabía; 2
Sabían; 1
Sacacorchos; 3
Sacaron; 1
Salió; 1
Saludos; 1
Salía; 1
Satanás; 2
Satán; 1
Scourie; 1
Se; 74
Segunda; 1
Seguro; 1
Según; 2
Sentía; 1
Sentían; 1
Será; 3
Sería; 1
Señora; 3
Si; 38
Siempre; 4
Siendo; 1
Sigue; 1
Siguen; 1
Siguió; 1
Silencio; 4
Silver; 1
Sin; 21
Sirenas; 1
Smee; 55
Sobre; 1
Soltadla; 1
Soltó; 1
Son; 2
Soy; 6
Soñó; 1
Starkey; 29
Stevenson; 1
Su; 15
Suaves; 1
Subieron; 1
Supo; 1
Supongamos; 1
Supongo; 9
Surgió; 1
Sus; 6
Suspira; 1
Sé; 2
Sí; 72
Sígueme; 3
Sólo; 11
También; 7
Tampoco; 1
Tan; 1
Te; 9
Temblando; 1
Ten; 1
Tendré; 1
Tendríais; 1
Tendríamos; 1
Tenemos; 2
Tengo; 3
Tenía; 8
Tenían; 2
Terranova; 1
Terriblemente; 1
Teynte; 1
Tic; 1
Tiddlywinks; 2
Tiene; 3
Tienes; 1
Tigridia; 13
Tinker; 1
Tirad; 1
Todas; 2
Todavía; 3
Todo; 6
Todos; 19
Tom; 4
Trae; 1
Traed; 1
Tras; 3
Trataban; 1
Trató; 1
Tres; 1
Turley; 2
Tuvo; 1
Tú; 5
Un; 10
Una; 17
Unas; 3
Uno; 2
Unos; 4
Usted; 1
V; 1
VI; 1
Vamos; 8
Vaya; 3
Veamos; 1
Vendré; 1
Ver; 1
Verá; 1
Veréis; 1
Veía; 1
Viene; 1
Vigilad; 1
Vio; 1
Viva; 2
Viven; 1
Volaba; 1
Volvamos; 1
Volved; 1
Volvió; 3
Volvía; 1
Vosotros; 1
Voy; 2
Vuelve; 2
Vámonos; 2
Vía; 1
Walrus; 1
Wapping; 1
Wendy; 349
Wendy-dijo; 5
Wendy-se; 1
Wendy-susurró; 1
Wendylos; 1
Wendyterminó; 1
Y; 69
Ya; 29
Yo; 31
a; 1118
abajo; 14
abalanzaron; 1
abalanzarse; 1
abalanzándose; 1
abandonada; 2
abandonado; 4
abandonan; 1
abandonando; 1
abandonar; 1
abandonara; 2
abandonarlo; 1
abandonaron; 1
abandonaría; 1
abandones; 1
abandonó; 1
abatida; 1
abatido; 2
abatidos; 1
abatimiento; 2
abejas; 1
abertura; 2
abierta; 8
abiertas; 1
abismo; 1
ablandándose; 1
ablandó; 2
abordado; 1
abordaje; 1
abordando; 1
abordar; 1
abordo; 1
aborrece; 1
aborrecible; 1
aborrecía; 3
abra; 1
abrazaba; 1
abrazando; 1
abrazarlos; 1
abrazaron; 1
abrazarán; 1
abrazándolos; 1
abrazó; 1
abre; 2
abren; 1
abreviatura; 1
abreviaturas; 1
abriera; 1
abrieron; 5
abrigar; 1
abrigos; 1
abrir; 1
abriré; 2
abriéndose; 1
abrió; 8
absoluta; 1
absolutamente; 4
absoluto; 3
absorbía; 1
absurdamente; 1
absurdas; 1
abulta; 1
aburrida; 1
aburrido; 2
aburría; 1
acaba; 2
acababa; 1
acababan; 1
acabada; 4
acabado; 6
acabar; 2
acabaron; 1
acabarían; 1
acabó; 2
acallar; 1
acalorado; 2
acariciando; 1
accidente; 1
acciones; 3
acechando; 1
acechante; 1
acecho; 1
aceite; 1
aceleró; 1
aceptaban; 1
aceptado; 1
aceptar; 1
aceptaron; 1
aceptaría; 1
aceptas; 1
acera; 1
acerada; 1
acerca; 2
acercaba; 2
acercado; 1
acercan; 1
acercando; 3
acercaron; 1
acercarse; 4
acercándose; 3
acercó; 8
acero; 2
acertada; 1
achantarse; 1
aclamando; 2
aclamaron; 1
acobardara; 1
acobardarse; 1
acogedor; 1
acogedora; 2
acomodándose; 1
acomodó; 1
acompañaba; 1
acompañado; 3
acompañados; 1
acompañan; 1
acordaba; 4
acordando; 1
acordaran; 1
acordarás; 1
acordaré; 1
acordó; 2
acostados; 1
acostar; 1
acostarse; 1
acostumbrado; 1
acostumbrando; 1
acostumbrarse; 1
acostó; 1
actitud; 5
activamente; 1
actores; 1
actos; 1
actual; 2
actuar; 1
acuchillaba; 1
acuerda; 1
acuerdas; 3
acuerden; 1
acuerdo; 7
acurrucó; 2
acusaciones; 1
acusar; 1
acuñación; 1
adecuada; 1
adecuado; 1
adecuara; 1
adecuarse; 1
adecuase; 1
adelantado; 2
adelantamos; 1
adelantando; 1
adelante; 10
ademán; 1
además; 7
adentros; 2
adivinado; 1
adivinanzas; 1
adivinas; 1
adivinó; 1
adiós; 2
admira; 1
admiraba; 1
admiración; 6
admirado; 3
admiraran; 1
admiraron; 1
admita; 1
admitir; 1
admitiría; 1
admitió; 4
admitámoslo; 1
adoptado; 2
adoptarlo; 1
adoptaron; 1
adopten; 1
adornadas; 1
adquirido; 1
adquirieron; 1
adscrito; 1
adulta; 5
adulto; 1
adultos; 2
adversario; 1
adversarios; 1
advertencia; 1
advertir; 1
advierto; 2
advirtió; 3
afable; 1
afablemente; 1
afectuoso; 1
afeitaron; 1
aferraba; 1
aferrando; 1
aferrándolo; 1
aferró; 2
aficionado; 1
afición; 1
afilaban; 1
afilada; 1
afirmativas; 1
afirmó; 1
aflojó; 1
afortunada; 1
afuera; 1
agacharon; 1
agachándose; 1
agallas; 1
agarrada; 1
agarrarse; 1
agarrándola; 1
agarró; 5
agitaba; 2
agitación; 1
agitad; 1
agitada; 2
agitar; 1
agitaron; 1
agitó; 1
agonía; 1
agotada; 1
agotadora; 1
agotados; 1
agradabilísimas; 1
agradable; 11
agradablemente; 1
agradables; 1
agradarla; 1
agradecida; 1
agradecido; 2
agradecimiento; 1
agriarle; 1
agrietados; 1
agrupaban; 1
agrupados; 1
agruparon; 4
agruparse; 1
agrupándose; 1
agua; 34
aguardaba; 1
aguardaban; 1
aguardando; 1
aguardó; 1
aguas; 5
agudeza; 1
aguerridos; 1
aguja; 1
agujas; 1
agujereadas; 1
agujero; 3
agujeros; 3
aguzaron; 1
agónico; 1
agüero; 1
ahogaba; 1
ahogado; 1
ahogados; 1
ahogan; 1
ahogar; 2
ahogue; 1
ahoguen; 1
ahora; 65
ahorrarle; 1
ahuyentar; 1
ahí; 14
ahínco; 1
aire; 39
aireadas; 3
aireados; 1
aires; 7
aislar; 1
al; 268
ala; 4
alabó; 1
alargando; 2
alargó; 5
alarido; 1
alaridos; 1
alarmada; 1
alarmado; 1
alarmante; 1
alarmó; 1
alas; 4
alcaide; 1
alcance; 2
alcanzado; 1
alcanzar; 2
alcanzaron; 1
aldaba; 2
alegando; 1
alegra; 1
alegraba; 2
alegrado; 1
alegramos; 1
alegrara; 1
alegrarnos; 1
alegras; 2
alegre; 8
alegremente; 12
alegres; 8
alegro; 2
alegráis; 1
alegrémonos; 1
alegría; 15
alegrías; 1
alegró; 1
alejaban; 1
alejado; 1
alejan; 1
alejarse; 3
alejándose; 1
alejó; 5
aleros; 1
alfombra; 1
algo; 49
alguien; 6
alguna; 11
