; 10
Menos; 1
Mensajeros; 2
Mesa; 1
Mezreel; 2
Mi; 18
Mientras; 4
Mil; 1
Mira; 15
Miró; 4
Mis; 2
Mmmm; 1
Montaba; 1
Montado; 2
Montañas; 2
Monte; 8
Montones; 1
Moriré; 1
Mucha; 1
Mucho; 2
Muchos; 2
Muestren; 1
Muy; 10
Mármol; 1
Más; 7
Mátenme; 1
N-n-no; 1
NARNIA; 2
NARNIANOS; 1
NIÑO; 1
Nada; 5
Nadie; 8
Narnia; 102
Naturalmente; 1
Necesitabas; 1
Negro; 1
Ni; 3
Niña; 1
Niño; 1
No; 163
Noche; 2
Norte; 13
Nos; 3
Nosotros; 1
Notó; 1
Nuestra; 1
Numerosos; 1
Nunca; 9
O; 9
Obviamente; 1
Occidentales; 1
Ocurre; 1
Oeste; 1
Oh; 39
Oigo; 1
Ojalá; 2
Olvida; 1
Olvin; 1
Oriente; 1
Oro; 1
Osarás; 1
Oso; 1
Otoñal; 1
Otra; 2
Oye; 5
P-por; 1
PARTIO; 1
PRINCIPE; 1
PUERTAS; 1
Pacificador; 1
Padre; 1
Palacio; 2
Para; 3
Paravel; 13
Parece; 4
Pareció; 1
Parecía; 3
Parménides; 1
Pasado; 1
Pasaron; 3
Paso; 2
Pedro; 8
Pendan; 1
Penetraron; 1
Pensé; 3
Pensó; 3
Pequeña; 1
Perdona; 1
Perdón; 1
Perfumes; 1
Peridan; 8
Permanezcamos; 1
Pero; 215
Picarón; 2
Piedra; 1
Pire; 9
Pobre; 2
Poco; 2
Podremos; 2
Podría; 2
Podríamos; 1
Podía; 1
Podían; 1
Pon; 2
Por; 48
Porque; 17
Potente; 2
Preferiría; 2
Prefiero; 1
Pregunta; 1
Presa; 1
Prescinde; 1
Primero; 4
Procederé; 1
Prometo; 1
Pronto; 6
Príncipe; 53
Pss; 1
Puede; 6
Pueden; 1
Puedes; 3
Puedo; 4
Pues; 22
Pulgardrillo; 2
Punta; 2
Puntespina; 6
Puse; 1
Puso; 2
Puño; 1
Páramo; 2
Párense; 1
Póntela; 1
Q-q-quiero; 1
Que; 4
Querida; 4
Quería; 1
Quiero; 4
Quisiera; 3
Quizás; 1
Qué; 6
Quédate; 2
Quítame; 1
R-Rey; 1
RABADASH; 1
RIDICULO; 1
Rabadash; 65
Ram; 1
Real; 4
Realmente; 2
Recordaban; 1
Recordó; 1
Recuerda; 1
Recuerden; 2
Recuerdo; 1
Redhaven; 1
Registraron; 1
Regresamos; 1
Regresó; 1
Reina; 15
Reinaba; 1
Reinas; 3
Renegado; 1
Resolvió; 1
Resplandor; 4
Rey; 128
Reyes; 6
Ridículo; 1
Rilke; 1
Rishti; 1
Ronda; 3
Ropero; 2
Rápido; 3
S; 1
SE; 1
SEA; 1
SER; 1
SHASTA; 4
SILVA; 1
SU; 1
SUR; 1
Saben; 1
Sala; 3
Salen; 1
Saltó; 2
Se; 50
Secuestrado; 1
Sentía; 1
Ser; 1
Será; 1
Sería; 4
Señor; 6
Sha; 1
Shar; 1
Shasta; 377
Si; 32
Siempre; 7
Siento; 3
Siete; 1
Sigue; 2
Silencio; 3
Simpatizaron; 1
Sin; 12
Sintió; 1
Sinuosa; 4
Siéntate; 1
Sobre; 1
Somos; 3
Son; 9
Soy; 4
Sssh; 1
Ssssh; 1
Su; 23
Sube; 1
Suerte; 2
Supongo; 9
Sur; 2
Sus; 8
Susana; 20
Sácame; 1
Sálopa; 4
Sé; 1
Sí; 18
Sólo; 9
TASHBAAN; 2
TISROC; 1
TRAVÉS; 1
TUMBAS; 1
Tal; 2
Talentoso; 1
También; 5
Tampoco; 3
Tanto; 1
Tardó; 1
Tarkaan; 32
Tarkaanes; 6
Tarkeena; 18
Tarkeenas; 1
Tash; 15
Tashbaan; 69
Te; 22
Teebeth; 1
Telmar; 1
Ten; 1
Tendió; 1
Tendremos; 2
Tendrá; 1
Tendrás; 3
Tendré; 1
Tendrían; 1
Tendámonos; 1
Tenemos; 3
Tengo; 5
Tenía; 4
Tenían; 1
Terminó; 1
Tiemblo; 1
Tiene; 1
Tienes; 4
Tiraba; 1
Tisroc; 63
Tisrocs; 2
Tocó; 1
Toda; 1
Todas; 1
Todavía; 3
Todo; 10
Todos; 16
Toma; 3
Tomaron; 2
Tormenta; 1
Tormunt; 1
Total; 1
Tra; 1
Traigan; 1
Tran; 1
Tranquilízate; 1
Tras; 1
Trata; 1
Trataban; 1
Tratemos; 1
Tres; 1
Trueno; 1
Tu; 3
Tumba; 3
Tumbas; 28
Tumnus; 14
Tus; 1
Tuve; 1
Tócame; 2
Tú; 9
UN; 1
UNA; 1
Un; 19
Una; 18
Unas; 1
Uno; 14
Unos; 3
Usan; 1
V; 2
VI; 1
VIAJE; 2
VII; 1
VIII; 1
Valle; 1
Valor; 1
Vamos; 2
Van; 3
Vas; 2
Vaya; 1
Ve; 1
Ven; 2
Vendrá; 1
Vengan; 2
Venía; 1
Veo; 3
Verano; 1
Verdaderamente; 2
Vestimentas; 1
Viene; 1
Vio; 2
Visir; 24
Volver; 1
Volviéndose; 1
Volvió; 1
Voy; 3
Voz; 7
Vuestros; 1
Vámonos; 3
X; 1
XI; 1
XII; 1
XIII; 1
XIV; 1
XV; 1
Y; 302
Ya; 24
Yo; 39
Zalindreh; 1
Zardeenah; 5
Zulindreh; 1
a; 1297
a-a-a; 1
abajo; 23
abandonado; 3
abarcó; 1
abedules; 1
abeja; 1
aberturas; 1
abierta; 3
abiertas; 6
abierto; 7
abiertos; 1
abofeteado; 1
aborrecidos; 1
abovedados; 1
abra; 1
abran; 1
abrasador; 1
abrazo; 1
abrazos; 1
abren; 2
abrieran; 1
abrieron; 2
abrir; 2
abrirse; 1
abrirte; 1
abrió; 9
abrupta; 2
abrí; 1
abría; 1
abrían; 1
absoluta; 1
absolutamente; 9
absoluto; 5
absurdas; 1
absurdo; 1
aburrida; 2
aburridas; 1
aburrido; 1
aburrirse; 1
acababa; 7
acababan; 2
acabamos; 1
acaban; 1
acabar; 1
acabo; 1
acaecida; 1
acalambrada; 1
acalorado; 4
acantilado; 3
acantilados; 2
acariciar; 1
acarició; 2
acarreaban; 1
accede; 1
acción; 1
acechando; 1
aceite; 2
acento; 1
acepta; 1
aceptada; 1
aceptado; 1
aceptar; 1
aceptarás; 1
aceptarías; 1
aceptaste; 1
acerca; 15
acercaba; 3
acercaban; 2
acercabas; 1
acercando; 3
acercarse; 6
acercó; 4
acero; 1
acertaba; 1
acerté; 1
aclamaciones; 1
aclaró; 1
acobardó; 1
acogida; 1
acomodarse; 1
acompañantes; 1
acompañarlo; 1
acontecimientos; 2
aconteció; 1
acontecía; 1
acordado; 1
acordando; 1
acordarme; 1
acordaron; 1
acorde; 1
acordó; 3
acortaba; 1
acortar; 2
acostar; 1
acostarse; 1
